Price,Displacement,Power,Torque,Cylinder_Config,Engine_Location,Fuel_System,Turbocharger,Emission_Norm,Fuel_Type,Fuel_Tank_Capacity,ARAI_Mileage,City_Mileage,Highway_Mileage,Body_Type,Length,Width,Height,Wheelbase,Kerb_Weight,GVW,Ground_Clearance,Boot_Space,Drivetrain,Gears,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Airbags,ABS,EBD,EBA,ESP,Traction_Control,Hill_Assist,ISOFIX,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Start/Stop_Button,Cruise_Control,Parking_Assistance,Rain_Wipers,Auto_Headlamps,Auto_Mirror,Adj_Steering,Seat_Height_Adjustment,Leather_Steering,Multi_Steering,Rear_Armrest,Cool_Glove_Box,Infotainment,Navigation_System,Bluetooth,USB,Multi_Display,Audiosystem,Make,Model,Variant,Cylinders,Valves/Cylinder,Doors,Seats,Number_of_Airbags
653523,1248,73.97,190.0,In-line,"Front, Transverse",Injection,Yes,BS IV,Diesel,42.0,28.4,14.6,19.8,Sedan,3995,1695,1555,2430,1045,1505,170,320,Front Wheel Drive,5,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,Driver frontal airbag,No,No,No,No,No,No,No,Electric Power,Only Front Windows,No,Remote,No,No,Rear sensors,No,No,No,Rake,Manual Adjustment,No,No,No,No,No,No,No,Yes,Yes,Not on offer,Maruti Suzuki,Dzire Tour,Ldi,4,4,4,5,2
553423,1197,81.86,115.0,In-line,"Front, Transverse",Injection,Yes,BS IV,Petrol,42.0,22.0,16.3,19.1,Sedan,3995,1695,1555,2430,935,1415,170,316,Front Wheel Drive,5,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,Driver frontal airbag,No,No,No,No,No,No,No,Electric Power,Only Front Windows,No,Remote,No,No,Rear sensors,No,No,No,Rake,Manual Adjustment,No,No,No,No,No,No,No,Yes,Yes,Not on offer,Maruti Suzuki,Dzire Tour,Lxi,4,4,4,5,2
598940,1197,69.0,115.0,In-line,"Front, Transverse",Injection,Yes,BS IV,CNG,42.0,18.15,13.8,15.5,Sedan,3995,1695,1555,2430,935,1415,170,316,Front Wheel Drive,5,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,Driver frontal airbag,No,No,No,No,No,No,No,Electric Power,Only Front Windows,No,Remote,No,No,Rear sensors,No,No,Yes,Rake,Manual Adjustment,No,No,No,No,No,No,No,Yes,Yes,Not on offer,Maruti Suzuki,Dzire Tour,Lxi Cng,4,4,4,5,2
559693,1197,82.85,115.0,In-line,"Front, Transverse",Injection,Yes,BS IV,Petrol,45.0,18.6,13.3,18.6,Hatchback,3995,1710,1505,2525,1066,1170,165,285,Front Wheel Drive,5,Ventilated Disc,Drum,McPherson strut with coil spring,Coupled Torsion Beam Axle with coil spring,"Driver frontal airbag, Front passenger frontal airbag",Yes,No,Yes,Yes,Yes,Yes,Yes,Electric Power,Only Front Windows,No,Remote,No,No,Rear sensors with camera,Yes,Yes,Yes,"Rake, Reach",Manual Adjustment,Yes,Multifunction Steering Wheel,Cup Holders,Yes,Yes,No,Yes,Yes,Yes,Not on offer,Hyundai,Elite I20,Era 1.2,4,4,5,5,2
697803,1396,88.77,220.0,In-line,"Front, Transverse",Injection,Yes,BS IV,Diesel,45.0,22.54,18.4,22.54,Hatchback,3985,1734,1505,2570,1510,1170,170,285,Front Wheel Drive,6,Ventilated Disc,Drum,McPherson strut with coil spring,Coupled Torsion Beam Axle with coil spring,"Driver frontal airbag, Front passenger frontal airbag",Yes,No,Yes,Yes,Yes,Yes,Yes,Electric Power,Only Front Windows,No,Remote,No,No,Rear sensors with camera,Yes,Yes,Yes,"Rake, Reach",Manual Adjustment,Yes,Multifunction Steering Wheel,Cup Holders,Yes,Yes,No,Yes,Yes,Yes,Not on offer,Hyundai,Elite I20,Era 1.4 Crdi,4,4,5,5,2
634950,1197,82.85,115.0,In-line,"Front, Transverse",Injection,Yes,BS IV,Petrol,45.0,18.6,13.3,18.5,Hatchback,3985,1734,1505,2570,1058,1170,170,285,Front Wheel Drive,5,Ventilated Disc,Drum,McPherson strut with coil spring,Coupled Torsion Beam Axle with coil spring,"Driver frontal airbag, Front passenger frontal airbag",Yes,No,Yes,Yes,Yes,Yes,Yes,Electric Power,All Windows,No,Remote,No,No,Rear sensors,Yes,Yes,Yes,"Rake, Reach",Manual Adjustment,Yes,Multifunction Steering Wheel,Cup Holders,Yes,Yes,No,Yes,Yes,Yes,CD Player with USB & Aux-in,Hyundai,Elite I20,Magna Plus,4,4,5,5,2
770803,1396,88.77,220.0,In-line,"Front, Transverse",Injection,Yes,BS IV,Diesel,45.0,22.54,18.4,22.54,Hatchback,3985,1734,1505,2570,1510,1170,170,285,Front Wheel Drive,6,Ventilated Disc,Drum,McPherson strut with coil spring,Coupled Torsion Beam Axle with coil spring,"Driver frontal airbag, Front passenger frontal airbag",Yes,No,Yes,Yes,Yes,Yes,Yes,Electric Power,All Windows,No,Remote,No,No,Rear sensors,Yes,Yes,Yes,"Rake, Reach",Manual Adjustment,Yes,Multifunction Steering Wheel,Cup Holders,Yes,Yes,No,Yes,Yes,Yes,CD Player with USB & Aux-in,Hyundai,Elite I20,Magna Plus Crdi,4,4,5,5,2
721693,1197,82.85,115.0,In-line,"Front, Transverse",Injection,Yes,BS IV,Petrol,45.0,18.6,13.3,18.5,Hatchback,3985,1734,1505,2570,1060,1170,170,285,Front Wheel Drive,5,Ventilated Disc,Drum,McPherson strut with coil spring,Coupled Torsion Beam Axle with coil spring,"Driver frontal airbag, Front passenger frontal airbag",Yes,No,Yes,Yes,Yes,Yes,Yes,Electric Power,All Windows,No,Remote,No,No,Rear sensors with camera,Yes,Yes,Yes,"Rake, Reach",Manual Adjustment,Yes,Multifunction Steering Wheel,Audio Controls,Yes,Touch Sensitive,Yes,Yes,Yes,Yes,CD Player with USB & Aux-in,Hyundai,Elite I20,Sportz Plus,4,4,5,5,2
876103,1396,88.77,220.0,In-line,"Front, Transverse",Injection,Yes,BS IV,Diesel,45.0,22.54,18.4,22.54,Hatchback,3985,1734,1505,2570,1515,1170,170,285,Front Wheel Drive,6,Ventilated Disc,Drum,McPherson strut with coil spring,Coupled Torsion Beam Axle with coil spring,"Driver frontal airbag, Front passenger frontal airbag",Yes,No,Yes,Yes,Yes,Yes,Yes,Electric Power,All Windows,No,Remote,No,No,Rear sensors with camera,Yes,Yes,Yes,"Rake, Reach",Manual Adjustment,Yes,Multifunction Steering Wheel,Cup Holders,Yes,Yes,No,Yes,Yes,Yes,CD Player with USB & Aux-in,Hyundai,Elite I20,Sportz Plus Crdi Dual Tone,4,4,5,5,2
808993,1197,82.85,114.0,In-line,"Front, Transverse",Injection,Yes,BS IV,Petrol,45.0,18.15,13.3,18.5,Hatchback,3995,1734,1505,2570,1515,1170,170,285,Front Wheel Drive,5,Ventilated Disc,Drum,McPherson strut with coil spring,Coupled Torsion Beam Axle with coil spring,"Drive side airbag, Front passenger curtain airbag, Driver curtain airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,No,Yes,Yes,Yes,Yes,Yes,Electric Power,All Windows,No,Smart Key,Yes,No,Rear sensors with camera,Yes,Yes,Yes,"Rake, Reach",Manual Adjustment,Yes,Multifunction Steering Wheel,Cup Holders,Yes,Touch Sensitive,Yes,Yes,Yes,Yes,CD Player with USB & Aux-in,Hyundai,Elite I20,Asta (O) 1.2,4,4,5,5,6
